Country Name,Renewable energy consumption,GDP per capita (current US$)
Tunisia,12.2,3477.883777
Turkiye,14.12,9103.043375
Turkmenistan,0.06,7344.648233
Turks and Caicos Islands,0.45,27795.14856
Tuvalu,8.2,4949.173888
Uganda,90.22,823.1389505
Ukraine,7.44,3661.456299
United Arab Emirates,0.67,45376.17084
United Kingdom,12.24,42747.08046
United States,10.42,65120.39466
Uruguay,60.76,17859.9315
Uzbekistan,1.57,1784.009816
Vanuatu,31.86,3076.589886
"Venezuela, RB",15.62,..
Vietnam,18.65,3491.091274
Virgin Islands (U.S.),3.66,38596.03071
West Bank and Gaza,13.86,3656.858271
"Yemen, Rep.",3.11,..
Zambia,84.5,1268.120941
Zimbabwe,81.5,1421.868596
Africa Eastern and Southern,..,1500.229274
Africa Western and Central,..,1749.303317
Arab World,..,6384.390492
Caribbean small states,..,10429.33204
Central Europe and the Baltics,..,16358.47415
Early-demographic dividend,..,3489.131061
East Asia & Pacific,..,11482.53168
East Asia & Pacific (excluding high income),..,8169.167837
East Asia & Pacific (IDA & IBRD countries),..,8259.795605
Euro area,..,39182.54834
Europe & Central Asia,..,24870.26199
Europe & Central Asia (excluding high income),..,8129.886017
Europe & Central Asia (IDA & IBRD countries),..,9019.717374
European Union,..,35079.46915
Fragile and conflict affected situations,..,1874.072016
Heavily indebted poor countries (HIPC),..,978.7939702
High income,..,44723.92894
IBRD only,..,6435.953319
IDA & IBRD total,..,5124.48713
IDA blend,..,1827.168474
IDA only,..,1149.25489
IDA total,..,1376.908798
Late-demographic dividend,..,9979.254112
Latin America & Caribbean,..,8707.187368
Latin America & Caribbean (excluding high income),..,8181.622747
Latin America & the Caribbean (IDA & IBRD countries),..,8526.265783
Least developed countries: UN classification,..,1090.003286
Low & middle income,..,4950.734179
Low income,..,704.491274
Lower middle income,..,2386.488589
Middle East & North Africa,..,7338.014016
Middle East & North Africa (excluding high income),..,3439.304335
Middle East & North Africa (IDA & IBRD countries),..,3436.75972
Middle income,..,5448.65078
North America,..,63198.70132
Not classified,..,..
OECD members,..,39531.66035
Other small states,..,13540.40029
Pacific island small states,..,4233.413675
Post-demographic dividend,..,45700.93813
Pre-demographic dividend,..,1455.60148
Small states,..,12427.57674
South Asia,..,1962.802875
South Asia (IDA & IBRD),..,1962.802875
Sub-Saharan Africa,..,1601.121764
Sub-Saharan Africa (excluding high income),..,1599.759186
Sub-Saharan Africa (IDA & IBRD countries),..,1601.121764
Upper middle income,..,9534.005113
World,..,11319.75411
