Country Name,Life expectancy
Bolivia,64.467
Brazil,74.009
Peru,73.665
Colombia,74.769
Chile,79.377
Ecuador,72.153
Suriname,72.561
Argentina,75.892
Uruguay,78.43
Guyana,68.486
Paraguay,73.182
"Venezuela, RB",71.095
